Process ID, Service Time, Turn Around Time
1,80,80
2,17,102
3,40,146
4,29,178
5,95,277
6,48,330
7,22,357
8,24,385
9,20,409
10,60,473
11,42,519
12,23,547
13,103,2505
14,23,678
15,95,772
16,105,2507
17,41,920
18,35,959
19,37,1001
20,5,1008
21,50,1063
22,12,1080
23,47,1122
24,6,1132
25,91,1227
26,68,1297
27,4,1297
28,17,1325
29,152,2537
30,63,1495
31,77,1574
32,14,1592
33,79,1673
34,43,1719
35,13,1737
36,97,1835
37,44,1880
38,76,1958
39,37,1996
40,87,2088
41,18,2108
42,21,2132
43,42,2177
44,11,2190
45,31,2204
46,55,2257
47,41,2294
48,18,2316
49,26,2248
50,37,2248
