Process ID, Service Time, Turn Around Time
1,80,2018
2,17,72
3,40,116
4,29,148
5,95,2064
6,48,255
7,22,282
8,24,310
9,20,334
10,60,2076
11,42,434
12,23,462
13,103,2590
14,23,543
15,95,2172
16,105,2592
17,41,690
18,35,729
19,37,771
20,5,778
21,50,2225
22,12,850
23,47,892
24,6,902
25,91,2259
26,68,2279
27,4,1008
28,17,1036
29,152,2627
30,63,2346
31,77,2375
32,14,1213
33,79,2405
34,43,1311
35,13,1329
36,97,2451
37,44,1425
38,76,2475
39,37,1515
40,87,2513
41,18,1590
42,21,1614
43,42,1659
44,11,1672
45,31,1686
46,55,2484
47,41,1771
48,18,1793
49,26,1725
50,37,1725
